asset_class,asset_subclass,has_market_price,has_cash_flows,has_options_features,is_exchange_traded,liquidity,maturity_years,has_credit_risk,has_early_exercise,is_path_dependent,data_availability,volatility_available,ifrs_level,recommended_method,risk_free_rate_3m,yield_10y,yield_curve_slope,implied_volatility_atm,iv_skew,beta,pe_ratio,dividend_yield,market_cap,debt_to_equity,duration_estimate,credit_spread_asset,convenience_yield,storage_cost_pct,asset_class_encoded,asset_subclass_encoded
Bond,Government Bond,1,1,0,1,1,21.37,0,0,0,2,1,1,DCF,3.85057347704135,4.470527756210529,0.26460992386721033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.56797290327243,0.12029022244558257,0.0,0.0,0,38
Currency,Major Currency Pair,1,0,0,1,2,-1.0,0,0,0,2,1,1,Forward-Pricing,3.8395060622546047,4.4631046817857385,0.26237748202328837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,51
Bond,CDS,0,1,0,0,1,4.42,1,0,0,0,0,2,Credit-Model,3.8697374955035246,4.463360258303397,0.28376035441329284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.985643312117146,2.2628719725668383,0.0,0.0,0,10
Derivative,Equity Index Future,1,0,0,1,2,0.44,0,0,0,2,1,1,Forward-Pricing,3.8525994545271502,4.442850182600816,0.243836517800761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,27
Equity,Biotech Stock,1,0,0,1,1,-1.0,0,0,0,2,1,2,Relative,3.851913212262923,4.450344629285099,0.24701408789914073,0.0,0.0,0.965989489722284,19.59010305835423,3.085819429853674,251229323977.75272,55.24642127656771,0.0,0.0,0.0,0.0,4,7
Option,Swaption,0,0,1,0,1,5.73,0,0,0,1,1,3,Black-Scholes,3.8034223172587716,4.510363675754249,0.26403129408705067,0.2500075,0.0746583580469857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,66
Option,European Call,1,0,1,1,1,0.6,0,0,0,2,1,1,Black-Scholes,3.8446279257337803,4.4873948027364445,0.2426879259332461,0.12500875,0.07534160066787579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,29
Option,Asian Option,0,0,1,0,2,1.37,0,0,1,2,1,3,Monte-Carlo,3.8289830047475046,4.427133348001144,0.23199059442086634,1.0000000000000003e-05,0.07387842425828894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4
Bond,Sovereign Emerging Bond,1,1,0,1,0,24.49,1,0,0,1,1,2,Credit-Model,3.8194486984622427,4.407216592247608,0.24013045680760448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.66022397126463,1.3942401162108107,0.0,0.0,0,65
Option,European Call,1,0,1,1,1,0.96,0,0,0,2,1,2,Black-Scholes,3.833217493771198,4.461699090998307,0.26514570823102424,0.015634843750000002,0.06406713569480799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,29
Derivative,Interest Rate Swap,0,1,0,0,2,2.58,1,0,0,1,0,2,DCF,3.84810080088781,4.4799244455456995,0.2826106163265091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,45
Bond,CDS,1,1,0,0,1,7.84,1,0,0,0,0,3,Credit-Model,3.839590924967731,4.448405297025484,0.28302733068785607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.65424702298413,4.298560387182801,0.0,0.0,0,10
Equity,Blue Chip Stock,1,1,0,1,2,-1.0,0,0,0,2,1,1,Mark-to-Market,3.8131772267043,4.482782989638814,0.3017583086507814,0.0,0.0,0.5256849577313096,13.039879480153093,0.5427300595261585,348581392690.1684,124.4311250291363,0.0,0.0,0.0,0.0,4,9
Derivative,Equity Swap,0,1,0,0,1,2.0,1,0,0,0,1,1,DCF,3.8442180881952988,4.461330296799658,0.27203330235141676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,28
Bond,Government Bond,1,1,0,1,2,18.59,0,0,0,2,1,2,DCF,3.817790198569245,4.456363733462088,0.2747240102465761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.207232106357695,0.4643662194848148,0.0,0.0,0,38
Option,Lookback Option,0,0,1,0,0,1.5,0,0,1,1,1,3,Monte-Carlo,3.834149481728166,4.476861368428707,0.2649918592594327,1.0000000000000003e-05,0.06239818114688302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,49
Bond,Municipal Bond,0,1,0,0,1,27.27,1,0,0,0,0,3,DCF,3.824190846207813,4.44813916981828,0.26596347068527937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.366668967461614,3.1931143901992773,0.0,0.0,0,55
Currency,Cross Currency Swap,0,1,0,0,0,3.27,1,0,0,1,0,2,Forward-Pricing,3.825808711279263,4.453606449023779,0.31161090663190383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,20
Commodity,Precious Metal,1,0,0,1,2,1.94,0,0,0,2,1,1,Cost-of-Carry,3.8446735529720253,4.474944729945509,0.2752270287451002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053160064353055834,0.02269546544965911,1,58
Equity,Energy Major Stock,1,1,0,1,2,-1.0,0,0,0,1,1,1,DDM,3.8100802902655255,4.459299870603427,0.276965485381882,0.0,0.0,0.9193420066588902,20.731980192710516,0.3780863717289816,1071166295601.7211,18.74337364494633,0.0,0.0,0.0,0.0,4,26
Option,Barrier Option,0,0,1,0,0,0.34,0,0,1,1,1,3,Monte-Carlo,3.8672504856724035,4.502565710896324,0.24709771394166025,0.4577690942382813,0.05401274944238303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,6
Equity,Banking Stock,1,1,0,1,2,-1.0,0,0,0,1,1,1,DDM,3.7951262017730105,4.475472306706689,0.2782084454981009,0.0,0.0,1.558025959828821,29.543527056154424,3.093357153306748,81192780211.65494,69.53697541055111,0.0,0.0,0.0,0.0,4,5
Option,European Call,1,0,1,1,2,1.83,0,0,0,2,1,2,Black-Scholes,3.8185546638656693,4.474022548371821,0.28316663958646887,0.007822421875,0.06628749642887287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,29
Currency,EM FX Forward,0,0,0,0,1,0.92,0,0,0,1,1,2,Forward-Pricing,3.8370895576923845,4.458896046392749,0.2922062025587569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,23
Bond,Corporate Bond (HY),1,1,0,1,0,3.15,1,0,0,1,1,3,Credit-Model,3.8411896162872363,4.479507029290624,0.2826016904980296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.766243516037413,4.164887424387921,0.0,0.0,0,18
Option,American Put,1,0,1,1,1,0.45,0,1,0,2,1,3,Binomial-Tree,3.828075889951052,4.452805846666523,0.2674652354383199,1.0000000000000003e-05,0.04577948576530498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3
Option,European Put,1,0,1,1,1,0.78,0,0,0,2,1,1,Black-Scholes,3.8289009680375203,4.466297023851749,0.2666115337427354,1.0000000000000003e-05,0.045745362745937615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,31
Option,Asian Option,0,0,1,0,1,0.3,0,0,1,1,1,3,Monte-Carlo,3.837862034134024,4.439566665051799,0.26855838642462154,0.062509375,0.054394440308185535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4
Option,American Put,1,0,1,1,2,1.24,0,1,0,2,1,1,Binomial-Tree,3.8255750195066853,4.4831795430467425,0.2721437408712176,1.0000000000000003e-05,0.07746317412689621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3
Option,European Call,1,0,1,1,2,1.59,0,0,0,2,1,2,Black-Scholes,3.8566794210894537,4.4664804847489386,0.29535300881612314,0.2500075,0.05345861088433707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,29
Option,American Call,1,0,1,1,2,0.37,0,1,0,2,1,1,Binomial-Tree,3.8460735355375353,4.504210041320462,0.2914527909840237,0.2500075,0.05480937650595426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1
Commodity,Precious Metal,1,0,0,1,2,1.1,0,0,0,2,1,1,Cost-of-Carry,3.846714586321758,4.513348253955836,0.2850582190745152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06925509867225098,0.026833064826209486,1,58
Commodity,Agriculture,1,0,0,1,1,1.25,0,0,0,2,1,2,Cost-of-Carry,3.8114980987474567,4.477022023766959,0.31058419960940553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0581934189051826,0.028569129753015867,1,0
Commodity,Commodity Forward,1,0,0,1,1,1.96,0,0,0,2,1,1,Cost-of-Carry,3.828479711672631,4.461525884439936,0.21687523249446305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06593452736982536,0.009891796944805742,1,12
Commodity,Agriculture,1,0,0,1,0,0.19,0,0,0,2,1,3,Cost-of-Carry,3.8242460770819986,4.4389027613796,0.26079882851347896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03437455719686583,0.013341460383883282,1,0
Derivative,FX Option,0,0,1,0,0,0.76,0,0,0,1,1,3,Black-Scholes,3.810742733655547,4.4801759206126714,0.2697745476177119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,33
Currency,Cross Currency Swap,0,1,0,0,1,1.83,1,0,0,1,0,2,Forward-Pricing,3.836897144122562,4.464689345774864,0.2565554105207801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,20
Option,American Put,1,0,1,1,1,1.69,0,1,0,2,1,2,Binomial-Tree,3.8197040837385168,4.471998176913145,0.25140498550695173,0.12500875,0.061470885743098336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3
Bond,Corporate Bond (IG),1,1,0,1,1,1.08,1,0,0,2,1,2,DCF,3.8425509833416323,4.498574258740274,0.23565680719273543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9136822598197466,4.8739269574262085,0.0,0.0,0,19
Derivative,Interest Rate Swap,0,1,0,0,1,20.61,1,0,0,2,0,2,DCF,3.8095058315705734,4.441615360662808,0.2637734277583143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,45
Equity,Fintech Stock,1,0,0,1,1,-1.0,0,0,0,2,1,2,Relative,3.8629196277359212,4.439388017042867,0.2878805410768362,0.0,0.0,0.2613021730370833,31.962127034578405,6.951018357468,110788211241.23573,161.46702764182388,0.0,0.0,0.0,0.0,4,35
Bond,Floating Rate Note,1,1,0,1,1,0.75,0,0,0,2,1,2,DCF,3.812835229587962,4.454727701574334,0.28547872684608505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5687818285563137,0.004874829772140488,0.0,0.0,0,36
Commodity,Commodity Spot,1,0,0,1,2,1.76,0,0,0,2,1,1,Cost-of-Carry,3.8341996397573888,4.478312785639466,0.25495740227518554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0690956461075933,0.02219944069073668,1,14
Option,European Call,1,0,1,1,2,0.09,0,0,0,2,1,2,Black-Scholes,3.845164105793932,4.4723735394567825,0.2744049015706333,0.2500075,0.06757929469935085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,29
Bond,Government Bond,1,1,0,1,1,11.77,0,0,0,1,1,2,DCF,3.8190722357616678,4.440026146189184,0.29715199630432143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.070822958384218,0.2746934239516586,0.0,0.0,0,38
Bond,Corporate Bond (HY),1,1,0,1,0,3.77,1,0,0,0,1,3,Credit-Model,3.8463247745217406,4.476871129685666,0.2395986590930949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.301853383804128,1.7342617951311987,0.0,0.0,0,18
Bond,Government Bond,1,1,0,1,2,18.33,0,0,0,1,1,1,DCF,3.806461134102122,4.43321295413868,0.266823280392549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.290840544593728,0.0291655858191055,0.0,0.0,0,38
Option,Asian Option,0,0,1,0,1,1.82,0,0,1,0,1,2,Monte-Carlo,3.857808053939346,4.44131836066202,0.2757299258161784,0.991211025390625,0.07111337145461079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4
Derivative,Equity Swap,0,1,0,0,1,4.59,1,0,0,1,1,2,DCF,3.8302709584240944,4.457425301826682,0.27020030680073537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,28
Commodity,Precious Metal,1,0,0,1,2,1.38,0,0,0,2,1,1,Cost-of-Carry,3.8185787215373956,4.447658483214752,0.28701266788034746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010397944646825863,0.021323631165025492,1,58
Commodity,Precious Metal,1,0,0,1,2,0.61,0,0,0,2,1,1,Cost-of-Carry,3.824270669058015,4.479843866596916,0.24004347940676227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06794561035961484,0.015580709324594856,1,58
Derivative,Interest Rate Swap,0,1,0,0,2,25.64,1,0,0,1,0,2,DCF,3.8454908040088704,4.466386240170924,0.24988362678405132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,45
Option,American Call,1,0,1,1,1,1.55,0,1,0,2,1,1,Binomial-Tree,3.8188076811610645,4.4993720142610885,0.2836408268539195,0.062509375,0.047389401811023496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1
Bond,Government Bond,1,1,0,1,2,17.49,0,0,0,0,1,1,DCF,3.815649800247554,4.454487766352597,0.23595551877809928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.131934234403055,0.11138186797299254,0.0,0.0,0,38
Bond,Floating Rate Note,1,1,0,1,1,1.62,0,0,0,2,1,1,DCF,3.8257575741562713,4.4572748920317915,0.2862353568206651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5254879851768435,0.17697036277997197,0.0,0.0,0,36
Currency,Cross Currency Swap,0,1,0,0,1,7.0,1,0,0,1,0,2,Forward-Pricing,3.807461175540455,4.486991532182077,0.2789963631246378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,20
Commodity,Precious Metal,1,0,0,1,2,1.89,0,0,0,2,1,1,Cost-of-Carry,3.864863415837086,4.4579724660903395,0.2848383947941068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011932521395974319,0.026352071054177126,1,58
Bond,CDS,1,1,0,0,1,2.75,1,0,0,0,0,3,Credit-Model,3.819153543578238,4.4933163170238775,0.26061420694480547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1761860008576175,1.54775114939331,0.0,0.0,0,10
Option,European Put,1,0,1,1,1,1.88,0,0,0,2,1,2,Black-Scholes,3.845925461455355,4.4720604690915735,0.28019676873426863,1.0000000000000003e-05,0.05762641558284461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,31
Bond,Corporate Bond (HY),1,1,0,1,1,10.81,1,0,0,1,1,2,Credit-Model,3.834011352101855,4.407532861721557,0.24655424859698383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.205133845934418,4.923423065393676,0.0,0.0,0,18
Bond,Sovereign Emerging Bond,1,1,0,1,0,19.67,1,0,0,1,1,3,Credit-Model,3.8111461729332703,4.486259820235532,0.26170990115067316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.802723034969851,1.9332097367706225,0.0,0.0,0,65
Commodity,Energy,1,0,0,1,2,0.56,0,0,0,2,1,1,Cost-of-Carry,3.8298859673185763,4.4803538079325715,0.27072677880555024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05522633561007299,0.029523590486062293,1,25
Commodity,Industrial Metal,1,0,0,1,2,1.21,0,0,0,2,1,2,Cost-of-Carry,3.845013653223801,4.481214717116265,0.25202501150886136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02442498977099438,0.014959952704280487,1,44
Bond,Corporate Bond (IG),1,1,0,1,1,9.93,1,0,0,1,1,2,DCF,3.8263947954330972,4.417385182158441,0.2743621373606848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.479678576021579,2.7076801592218622,0.0,0.0,0,19
Option,European Call,1,0,1,1,2,1.79,0,0,0,2,1,1,Black-Scholes,3.852848112913047,4.445215323863655,0.24711585542413425,0.12500875,0.06083829925479309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,29
Option,Asian Option,0,0,1,0,0,0.79,0,0,1,1,1,2,Monte-Carlo,3.849562019771773,4.446871882211684,0.2753730161966998,1.0000000000000003e-05,0.06184081938297901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4
Bond,MBS,0,1,0,0,1,8.47,1,0,0,1,0,3,DCF,3.847597219466707,4.441242993503403,0.30483700608774517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9435233362759226,4.345301300724999,0.0,0.0,0,50
Bond,Corporate Bond (IG),1,1,0,1,2,14.37,1,0,0,2,1,1,DCF,3.821197572810972,4.498844872461235,0.2448666872276524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.576598297367955,1.9214436775143957,0.0,0.0,0,19
Derivative,FX Option,0,0,1,0,1,0.68,0,0,0,1,1,2,Black-Scholes,3.8093210171249847,4.459737577216533,0.2695487976744811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,33
Bond,Sovereign Emerging Bond,1,1,0,1,0,3.65,1,0,0,1,1,2,DCF,3.8182497973573026,4.459184690979369,0.23764077883909662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9949749765825855,3.8459204942911343,0.0,0.0,0,65
Option,American Put,1,0,1,1,1,1.98,0,1,0,2,1,1,Binomial-Tree,3.8337580140137675,4.472309785320042,0.2533409196381912,1.0000000000000003e-05,0.0672510997269593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3
Bond,Government Bond,1,1,0,1,1,3.55,0,0,0,1,1,1,DCF,3.8404518155641445,4.472695427193933,0.2840389834347885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.099689756996857,0.05427726862401977,0.0,0.0,0,38
Currency,Major Currency Pair,1,0,0,1,2,-1.0,0,0,0,2,1,1,Forward-Pricing,3.7884144075988373,4.385631892553044,0.2613874279641969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,51
Bond,Corporate Bond (IG),1,1,0,1,0,12.21,1,0,0,2,1,1,DCF,3.829844632189135,4.445586226921569,0.2848482027753688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.162702331608847,4.147461545508896,0.0,0.0,0,19
Commodity,Commodity Spot,1,0,0,1,1,1.17,0,0,0,2,1,1,Cost-of-Carry,3.833027408664939,4.428494814715254,0.2771176671735347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04454779141223522,0.013685380150031384,1,14
Option,European Call,1,0,1,1,1,1.7,0,0,0,2,1,1,Black-Scholes,3.8246850274915576,4.468926825877353,0.26870963457319974,0.500005,0.0667940039541348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,29
Bond,Corporate Bond (IG),1,1,0,1,2,17.15,1,0,0,2,1,2,DCF,3.854727894017154,4.453557699160351,0.24941174810553024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.477044281191008,2.9855881786985976,0.0,0.0,0,19
Commodity,Precious Metal,1,0,0,1,2,1.68,0,0,0,2,1,1,Cost-of-Carry,3.8380770884219046,4.460343142688378,0.2837097643699503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038295990303154,0.012204598121766275,1,58
Commodity,Agriculture,1,0,0,1,2,0.8,0,0,0,2,1,1,Cost-of-Carry,3.8550901750397495,4.413649009599741,0.27608267456902946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07703835145272342,0.019031571360271456,1,0
Equity,Fintech Stock,1,0,0,1,1,-1.0,0,0,0,2,1,2,Relative,3.8258643560352934,4.453090295389402,0.23943919183981247,0.0,0.0,0.8718455593262714,43.79992499104099,2.4881035832552967,134575981769.74898,71.15734937524373,0.0,0.0,0.0,0.0,4,35
Equity,Banking Stock,1,1,0,1,1,-1.0,0,0,0,2,1,1,DDM,3.8479526939815076,4.484867404615872,0.2507094881343332,0.0,0.0,1.686015136671145,36.56733472114376,2.937174220755937,176827503681.8825,155.25586495849612,0.0,0.0,0.0,0.0,4,5
Currency,Major Currency Pair,1,0,0,1,2,-1.0,0,0,0,2,1,1,Forward-Pricing,3.8613115214552023,4.491430723473178,0.21461942236897225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,51
Bond,Government Bond,1,1,0,1,2,7.63,0,0,0,2,1,1,DCF,3.855118929553571,4.476030654255758,0.24268746387432438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.677861984088804,0.017288772330533442,0.0,0.0,0,38
Bond,Municipal Bond,0,1,0,0,0,16.48,1,0,0,1,0,2,DCF,3.80908548848584,4.430219123956107,0.2637324747795921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.487711854228548,2.949715813547509,0.0,0.0,0,55
Bond,Government Bond,1,1,0,1,2,13.21,0,0,0,1,1,1,DCF,3.825142103115063,4.488084660206724,0.24888288719304572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.495098343472788,0.17775892895039103,0.0,0.0,0,38
Option,European Put,1,0,1,1,1,1.04,0,0,0,2,1,2,Black-Scholes,3.823390095890636,4.4761452502865,0.2533666680789258,1.0000000000000003e-05,0.05884810912615252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,31
Derivative,Interest Rate Swap,0,1,0,0,2,28.61,1,0,0,2,0,2,DCF,3.8393692243467115,4.457386684540361,0.2978114031515151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,45
Bond,Corporate Bond (HY),1,1,0,1,0,5.34,1,0,0,0,1,2,Credit-Model,3.8431436705785282,4.4148416901864325,0.2905762664807609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8823416649705615,1.9148149647271735,0.0,0.0,0,18
Bond,Corporate Bond (HY),1,1,0,1,0,5.42,1,0,0,1,1,3,Credit-Model,3.8139352052924074,4.481265167399774,0.2561066362447875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2604302127845335,3.503742958215946,0.0,0.0,0,18
Option,European Put,1,0,1,1,1,1.28,0,0,0,2,1,1,Black-Scholes,3.831299107541509,4.4467946908413705,0.2858707526880499,0.0312596875,0.07011695585026745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,31
Commodity,Agriculture,1,0,0,1,2,0.49,0,0,0,1,1,2,Cost-of-Carry,3.79131839158921,4.467719497809522,0.2942974570580831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032619086741663694,0.02030582614118936,1,0
Currency,Major FX Forward,1,0,0,0,2,0.28,0,0,0,2,1,2,Forward-Pricing,3.8576132468611064,4.461525183092198,0.28237096983171467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,52
Bond,Corporate Bond (IG),1,1,0,1,2,25.64,1,0,0,2,1,1,DCF,3.8201880332910414,4.494306208152973,0.27597854966083746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.261073536161046,1.80353052554011,0.0,0.0,0,19
Option,American Option,1,0,1,1,2,1.56,0,1,0,2,1,1,Binomial-Tree,3.8310697944480223,4.457204316212255,0.2919664615543677,1.0000000000000003e-05,0.068281014404593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2
Bond,Corporate Bond (HY),1,1,0,1,1,3.03,1,0,0,1,1,2,Credit-Model,3.8240702079771287,4.459662966941083,0.2853903595991478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.279096485694763,2.050695141904851,0.0,0.0,0,18
Option,Asian Option,0,0,1,0,1,1.89,0,0,1,0,1,2,Monte-Carlo,3.8519464280615074,4.495203123207673,0.24573811472885135,1.0000000000000003e-05,0.06747698330456829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4
Bond,Floating Rate Note,1,1,0,1,2,3.21,0,0,0,2,1,2,DCF,3.7756617516472404,4.445321643964371,0.26622135492122023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.92185270497007,0.25593700784254286,0.0,0.0,0,36
Bond,Municipal Bond,0,1,0,0,0,26.71,1,0,0,2,0,2,DCF,3.829681911944459,4.478159399586394,0.2589586183788086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.93889260777551,3.3854102917132387,0.0,0.0,0,55
Commodity,Energy,1,0,0,1,2,0.64,0,0,0,2,1,1,Cost-of-Carry,3.8279735707939193,4.45557086937981,0.2930494696785412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05651727233829356,0.009550843747356333,1,25
Currency,EM FX Forward,0,0,0,0,1,0.64,0,0,0,1,1,3,Forward-Pricing,3.8213128631776194,4.43764331424729,0.25839155898429106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,23
Bond,Government Bond,1,1,0,1,2,27.64,0,0,0,1,1,1,DCF,3.863057238348922,4.460025890003876,0.2549563005738027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.991627700171676,0.4033930755258492,0.0,0.0,0,38
Currency,EM FX Forward,0,0,0,0,1,0.47,0,0,0,1,1,3,Forward-Pricing,3.8130076408629123,4.475425024033458,0.29053364148943234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,23
Commodity,Precious Metal,1,0,0,1,2,1.11,0,0,0,2,1,1,Cost-of-Carry,3.8447798967940625,4.490187729431476,0.275193420318635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04619554777818155,0.012050314982575656,1,58
Bond,Corporate Bond (IG),1,1,0,1,1,10.25,1,0,0,1,1,2,DCF,3.8368222409037216,4.492885675873209,0.3122356470126324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.613253171159526,2.110007748881193,0.0,0.0,0,19
Derivative,Equity Swap,0,1,0,0,1,1.03,1,0,0,1,1,3,DCF,3.854158093686055,4.453426761144771,0.25275516954387045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,28
Commodity,Energy,1,0,0,1,2,0.67,0,0,0,2,1,1,Cost-of-Carry,3.817223329026511,4.437984342125682,0.2596232814106796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03652326540720302,0.008017520294969114,1,25
Option,European Call,1,0,1,1,1,1.41,0,0,0,2,1,2,Black-Scholes,3.81596364558178,4.4528921225394225,0.2924393547485561,0.500005,0.05330507877531147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,29
Currency,Major FX Forward,1,0,0,0,1,0.03,0,0,0,2,1,1,Forward-Pricing,3.850989738728192,4.433651864200737,0.24441799257477914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,52
